refseq,gene,exons,8N,8T,33N,33T,51N,51T,mapping_status
NM_017566,KLHDC4,12,134,236,121,347,278,166,selected
NM_014281,PUF60,11,462,811,490,941,1087,1665,selected
NM_014255,CNPY2,6,76,134,90,192,218,301,selected
NM_001078176,SLC29A1,13,267,469,162,605,795,448,redundant_transcript
NR_002996,SNORA80,1,377,659,2794,1177,1349,1922,selected
NM_181050,AXIN1,10,384,674,278,938,639,692,redundant_transcript
NM_004897,MINPP1,5,62,109,112,149,193,286,selected
NM_018454,NUSAP1,11,184,324,245,489,318,450,redundant_transcript
NM_016359,NUSAP1,11,184,324,245,489,318,450,selected
NM_014445,SERP1,3,1084,1893,1308,1957,1547,3947,selected
NM_018204,CKAP2,9,192,336,361,397,366,884,redundant_transcript
NM_014700,RAB11FIP3,14,452,793,345,928,2201,1004,selected
NM_001098525,CKAP2,9,192,336,367,397,366,885,selected
NM_024789,TMEM180,10,35,62,24,89,99,42,selected
NM_003426,ZNF74,5,105,248,89,216,223,259,selected
NR_003093,E2F6,8,58,103,43,105,162,115,redundant_transcript
NM_144772,APOA1BP,6,189,399,177,428,448,504,selected
NM_001009570,CCT7,7,661,1172,697,1687,1622,1197,redundant_transcript
NM_018023,YEATS2,31,570,877,775,1872,1611,2591,selected
NM_145726,TRAF3,11,147,376,226,547,502,378,redundant_transcript
NM_014780,CUL7,26,341,650,531,1281,2562,1482,selected
NM_016200,LSM8,4,88,45,96,233,222,311,selected
NM_001077484,SLC38A1,17,2239,1164,1869,4505,2846,8006,selected
NM_004725,BUB3,8,326,232,479,1160,806,1190,redundant_transcript
NM_058163,TSR2,5,146,320,143,347,233,308,selected
NM_001135176,NEDD1,15,153,140,161,391,366,664,redundant_transcript
NM_002204,ITGA3,26,1931,2034,1319,3183,2962,7216,selected
NM_005501,ITGA3,25,1891,2003,1297,3133,2898,7074,redundant_transcript
NM_032354,TMEM107,5,196,1202,400,435,412,561,selected
NM_183065,TMEM107,5,193,1202,400,435,411,560,redundant_transcript
NM_021959,PPP1R11,3,271,241,194,489,482,657,selected
NM_001040273,TYSND1,2,190,174,277,706,368,502,redundant_transcript
NM_134470,IL1RAP,9,249,182,245,651,346,469,redundant_transcript
NM_012392,PEF1,5,319,379,276,775,668,908,selected
NM_024319,C1orf35,8,57,162,86,153,94,128,selected
NM_013231,FLRT2,2,362,126,317,955,1695,2309,selected
NM_002794,PSMB2,6,151,282,183,325,421,572,selected
NM_014059,C13orf15,5,29,129,97,234,266,363,selected
NM_006467,POLR3G,8,85,78,68,167,69,114,selected
NM_031220,PITPNM3,20,672,658,489,1192,490,716,selected
NM_003534,HIST1H3G,1,48,231,55,135,93,87,selected
NM_024855,ACTR5,9,105,239,120,294,317,276,selected
NM_002703,PPAT,11,84,209,75,184,157,202,selected
NM_080875,MIB2,20,357,791,339,824,855,600,selected
NM_001136004,MICAL3,23,505,544,622,1520,1182,1740,redundant_transcript
NM_005431,XRCC2,3,28,97,38,94,52,57,selected
NM_001130829,CDC2,8,307,478,391,956,350,683,selected
NM_025104,DBF4B,5,32,93,24,60,86,59,redundant_transcript
NM_182965,SPHK1,6,84,279,164,401,777,676,redundant_transcript
NM_001135175,NEDD1,15,154,140,162,396,366,665,redundant_transcript
NM_004736,XPR1,15,644,1065,596,1447,1228,3165,selected
NM_001017973,P4HA2,15,100,262,151,368,751,555,selected
NM_005139,ANXA3,13,168,39,218,531,177,1028,selected
NM_007120,UGT1A4,5,310,546,331,841,156,207,selected
NM_002639,SERPINB5,7,2402,4248,3435,4405,3431,7533,selected
NM_021628,ALOXE3,16,70,124,32,369,143,51,selected
NM_003302,TRIP6,9,471,830,418,692,689,1039,selected
NM_001037639,PARL,9,120,213,148,316,218,346,redundant_transcript
NM_182486,C1QTNF6,4,51,91,47,124,872,364,selected
NM_022751,FAM59A,6,195,345,123,322,350,399,selected
NM_000356,TCOF1,26,459,808,306,759,823,589,redundant_transcript
NM_001135245,TCOF1,26,459,808,306,759,823,589,redundant_transcript
NM_020857,VPS18,5,396,700,253,1140,973,1156,selected
NM_002803,PSMC2,12,252,446,219,486,551,981,selected
NM_001079867,PXMP3,3,169,299,329,527,602,915,redundant_transcript
NM_000318,PXMP3,4,169,299,329,527,602,915,selected
NM_024997,ATF7IP2,11,76,135,54,18,146,275,selected
NM_001010938,TNK2,15,574,1014,622,1552,1557,1419,selected
NM_001099691,TGFA,6,328,578,604,678,703,1935,selected
NM_003236,TGFA,6,328,578,604,678,703,1938,redundant_transcript
NM_001042680,C19orf28,10,134,237,64,273,411,199,redundant_transcript
NM_181054,HIF1A,14,1641,1717,1464,4882,5003,6848,redundant_transcript
NM_001530,HIF1A,15,1731,1779,1588,5194,5316,7268,selected
NM_173555,TYSND1,4,225,198,298,798,412,565,selected
NM_001024463,HISPPD2A,29,176,202,134,334,285,390,redundant_transcript
NM_018413,CHST11,4,52,86,40,420,309,423,selected
NR_002995,SNORA76,1,994,5720,13702,7739,4116,5627,selected
NM_003859,DPM1,9,135,376,294,487,332,456,selected
NM_001018109,PIR,10,68,113,60,230,93,128,selected
NM_001130147,CCDC77,12,49,184,88,109,99,136,redundant_transcript
NM_001130148,CCDC77,11,49,184,88,109,99,136,redundant_transcript
NM_020777,SORCS2,27,104,214,69,82,371,508,selected
NM_018212,ENAH,14,869,1809,1029,1266,2983,4085,redundant_transcript
NM_001008493,ENAH,15,872,1813,1036,1275,2993,4106,selected
NM_001014838,CUTA,6,177,344,217,253,306,420,redundant_transcript
NM_052935,NT5C3L,8,53,183,90,80,191,261,selected
NM_001004439,ITGA11,30,31,130,32,80,181,206,selected
NM_001130967,ZNF385A,8,772,525,604,1480,632,998,selected
NM_139161,CRB3,4,53,121,57,141,61,32,redundant_transcript
NM_005819,STX6,8,692,683,542,1329,1181,2511,selected
NM_016062,FAM96B,5,127,263,167,410,355,207,selected
NM_002765,PRPS2,7,296,496,294,721,512,805,redundant_transcript
NM_001039091,PRPS2,7,296,496,294,721,512,806,selected
NM_003504,CDC45L,19,77,178,128,316,211,260,selected
NM_004175,SNRPD3,4,106,125,112,276,204,302,selected
NM_001018112,FANCA,11,24,122,55,136,82,96,redundant_transcript
NM_005548,KARS,14,485,1349,548,1344,1306,1092,redundant_transcript
NM_021231,C19orf29,11,105,213,87,215,272,94,selected
NM_001786,CDC2,8,306,499,390,954,361,686,redundant_transcript
NM_033379,CDC2,6,206,300,281,688,285,439,redundant_transcript
NM_033557,YIF1B,7,76,140,55,136,201,90,redundant_transcript
NM_018676,THSD1,5,68,158,80,197,433,406,selected
NM_001621,AHR,12,1341,1160,1402,3433,3082,6573,selected
NM_152438,DDX11,27,49,65,58,144,57,79,redundant_transcript
NM_030653,DDX11,27,49,65,58,144,57,79,selected
NM_001082487,ACD,12,36,136,56,139,121,139,redundant_transcript
NM_001100878,C8orf73,14,332,591,202,494,403,684,selected
NM_024698,SLC25A22,10,155,276,83,279,325,280,selected
NM_001080443,KIF18B,16,113,202,42,203,262,223,selected
NM_138496,CYHR1,5,109,195,87,121,244,392,selected
NM_078483,SLC36A1,11,245,435,249,616,1543,814,selected
NM_152464,TMEM199,6,158,282,107,251,225,455,selected
NM_003200,TCF3,19,314,560,162,585,712,471,redundant_transcript
NM_001040197,AGTRAP,6,113,202,65,344,446,434,redundant_transcript
NM_001040196,AGTRAP,6,113,202,64,336,446,427,selected
NM_173065,IL28RA,6,147,262,138,210,250,583,redundant_transcript
NM_000310,PPT1,9,382,679,480,1225,1377,997,selected
NM_183001,SHC1,12,1054,1871,801,2339,4348,3389,redundant_transcript
NM_018252,TMEM206,8,31,56,26,82,122,128,selected
NM_006824,EBNA1BP2,9,258,522,237,580,577,795,selected
NR_023345,CNKSR1,21,237,457,407,445,233,322,redundant_transcript
NM_138720,HIST1H2BD,2,51,89,62,199,52,72,selected
NM_001032391,LCMT1,9,103,201,72,108,179,247,redundant_transcript
NM_015187,KIAA0746,24,216,126,181,1181,718,992,selected
NM_006815,TMED2,4,1013,1950,1302,1840,3228,4438,selected
NM_016520,C9orf78,9,223,106,169,557,426,586,selected
NM_022825,PORCN,13,102,285,145,130,190,262,redundant_transcript
NM_203473,PORCN,14,102,285,145,130,190,262,selected
NM_014783,ARHGAP11A,12,126,435,145,297,249,343,selected
NM_015921,CUTA,5,188,371,227,267,339,468,redundant_transcript
NM_001719,BMP7,7,437,252,382,943,148,430,selected
NM_032510,PARD6G,3,286,482,293,725,388,710,selected
NM_024554,PGBD5,9,149,268,88,289,273,190,selected
NM_001097643,TAS2R47,1,37,55,90,224,93,131,selected
NM_018645,HES6,4,14,150,53,132,600,108,selected
NM_003959,HIP1R,32,585,1546,678,1678,1089,878,selected
NM_018410,HJURP,9,79,255,96,238,216,260,selected
NM_015481,ZNF385A,7,767,532,603,1493,639,1000,redundant_transcript
NM_002263,KIFC1,11,129,232,135,355,292,210,selected
NM_001012994,SNX30,9,263,249,288,712,661,934,selected
NM_031424,FAM110A,1,147,263,153,655,261,170,redundant_transcript
NM_004220,ZNF213,6,101,195,65,162,187,178,redundant_transcript
NM_181349,SMURF1,18,300,477,445,1102,799,1441,redundant_transcript
NM_021972,SPHK1,6,81,214,148,366,724,633,selected
NM_030895,ZNF696,3,95,171,70,86,131,278,selected
NM_018686,CMAS,8,339,608,483,409,532,1069,selected
NM_152260,RPUSD2,3,80,133,69,172,103,158,selected
NM_000671,ADH5,9,261,467,380,478,518,790,selected
NM_012329,MMD,7,24,78,62,154,314,200,selected
NM_001136530,SERPINE2,9,146,261,312,1017,571,353,redundant_transcript
NM_004565,PEX14,9,90,162,63,165,180,103,selected
NM_022914,ACD,12,38,136,56,140,126,139,redundant_transcript
NM_001082486,ACD,12,38,136,56,140,126,139,selected
NM_001947,DUSP7,3,565,451,288,1593,1006,1399,selected
NM_025207,FLAD1,7,218,295,243,649,492,682,redundant_transcript
NM_030920,ANP32E,7,701,2657,708,1357,1185,1650,redundant_transcript
NM_018048,MAGOHB,5,48,178,147,157,187,259,selected
NM_203476,PORCN,13,100,283,136,130,186,259,redundant_transcript
NM_203475,PORCN,14,89,250,139,127,184,256,redundant_transcript
NM_203474,PORCN,13,89,250,139,127,184,256,redundant_transcript
NM_002200,IRF5,10,116,206,114,485,413,572,redundant_transcript
NM_001098629,IRF5,9,118,207,118,491,414,576,redundant_transcript
NM_001014433,CUTA,6,172,336,214,251,298,415,selected
NM_001014840,CUTA,6,177,341,216,253,300,416,redundant_transcript
NM_006291,TNFAIP2,11,1482,2674,1039,3340,4870,1641,selected
NM_133465,KIAA1958,4,69,125,52,325,153,104,selected
NM_001114176,AEBP2,9,357,643,469,576,780,1407,selected
NM_022478,CDH24,14,111,201,92,254,329,265,selected
NM_030974,SHARPIN,9,258,464,216,492,759,1234,selected
NM_138555,KIF23,23,84,152,171,369,192,486,selected
NM_001078175,SLC29A1,14,268,483,162,608,811,455,selected
NM_001040194,AGTRAP,5,112,202,63,336,438,420,redundant_transcript
NM_001040195,AGTRAP,4,112,202,57,332,430,415,redundant_transcript
NM_020350,AGTRAP,5,112,202,64,344,438,427,redundant_transcript
NM_212550,BLOC1S3,2,63,114,51,144,248,309,selected
NM_004832,GSTO1,6,220,398,357,1131,675,869,selected
NM_138799,MBOAT2,13,457,821,548,947,756,2098,selected
NM_174893,C17orf49,6,161,329,195,487,460,358,selected
NM_002863,PYGL,20,418,738,739,1832,1265,2426,selected
NM_017909,RMND1,12,26,64,60,151,118,87,selected
NM_016080,GLOD4,9,218,308,269,672,397,597,selected
NM_020429,SMURF1,19,300,477,445,1107,799,1444,selected
NM_014865,NCAPD2,32,616,1577,503,1248,1327,1758,selected
NM_001130089,KARS,15,494,1363,552,1373,1329,1127,selected
NM_145725,TRAF3,12,147,379,227,565,504,384,selected
NM_003300,TRAF3,11,142,333,211,527,459,342,redundant_transcript
NM_005573,LMNB1,11,242,516,235,586,462,194,selected
NR_003228,AFG3L1,13,43,99,111,277,161,170,selected
NM_000801,FKBP1A,5,514,1045,517,1286,1839,824,selected
NM_152744,SDK1,45,68,146,175,435,1739,389,selected
NM_001135177,NEDD1,14,162,145,164,408,369,680,redundant_transcript
NM_019042,PUS7,16,287,379,341,944,549,769,selected
NM_007235,XPOT,25,237,379,271,879,552,774,selected
NR_002978,SNORA46,1,726,3092,5294,5405,3319,4633,selected
NM_001080415,SR140,28,736,1457,1024,1408,1585,2217,selected
NM_001136478,ANP32E,6,693,2655,704,1340,1169,1633,redundant_transcript
NM_003662,PIR,10,70,113,60,234,93,130,redundant_transcript
NM_001098628,IRF5,10,116,205,114,484,407,569,redundant_transcript
NM_001072,UGT1A6,5,365,664,370,1007,194,237,redundant_transcript
NM_004344,CETN2,5,124,225,194,218,258,364,selected
NM_003925,MBD4,8,93,169,145,141,243,401,selected
NM_000433,NCF2,15,101,184,47,277,782,439,redundant_transcript
NM_001135773,SPATA2,3,98,178,85,236,271,196,selected
NM_012288,TRAM2,11,308,559,350,897,2170,942,selected
NM_006783,GJB6,3,1008,1828,1576,594,2295,9636,redundant_transcript
NM_053024,PFN2,3,530,965,718,975,2189,3163,redundant_transcript
NM_172088,TNFSF13,7,53,97,60,258,376,93,selected
NM_004523,KIF11,22,308,560,381,881,382,599,selected
NM_018270,C20orf20,5,52,95,68,244,198,224,selected
NM_005781,TNK2,15,610,1106,673,1697,1710,1589,redundant_transcript
NM_004995,MMP14,10,1272,2314,1015,4141,13996,11396,selected
NM_152329,PPIL5,4,71,218,60,152,163,195,selected
NM_005845,ABCC4,31,139,254,240,602,638,232,selected
NM_001031617,COX19,3,112,286,147,370,387,385,selected
NM_013442,STOML2,10,347,219,336,844,723,1022,selected
NM_003579,RAD54L,18,77,222,94,237,145,199,selected
NM_014142,NUDT5,10,76,95,101,255,164,254,selected
NM_012248,SEPHS2,1,272,543,215,539,940,1249,selected
NM_000512,GALNS,14,84,299,88,221,331,234,selected
NM_199263,THSD1,4,65,150,74,187,408,374,redundant_transcript
NM_001136493,MFSD2,14,74,193,197,206,158,223,selected
NM_032793,MFSD2,14,74,185,197,206,158,223,redundant_transcript
NM_006314,CNKSR1,21,239,462,412,456,235,330,selected
NM_144599,NIPA1,5,203,281,124,457,429,606,selected
NM_003885,CDK5R1,2,98,151,115,544,255,360,selected
NM_014665,LRRC14,4,363,716,329,659,713,1003,selected
NM_017514,PLXNA3,33,451,726,377,1012,997,1407,selected
NM_001098631,IRF5,10,116,205,109,473,404,567,redundant_transcript
NM_001098627,IRF5,10,116,205,109,474,404,569,selected
NM_001098630,IRF5,9,118,206,118,490,408,574,redundant_transcript
NM_032643,IRF5,9,118,206,113,479,405,572,redundant_transcript
NM_080927,DCBLD2,16,258,543,335,650,943,1330,selected
NM_001014837,CUTA,6,186,354,220,264,310,435,redundant_transcript
NM_015549,PLEKHG3,15,1338,1486,1040,2630,1516,2823,selected
NM_001950,E2F4,10,533,1088,465,1174,1220,1249,selected
NM_024653,PRKRIP1,6,143,488,189,478,493,444,selected
NM_001040165,C16orf13,4,65,160,54,138,150,149,redundant_transcript
NM_002408,MGAT2,1,238,717,242,610,808,973,selected
NM_001134655,ZNF213,6,101,196,65,165,185,180,selected
NM_001278,CHUK,21,169,130,192,484,476,701,selected
NR_004395,SNORD1A,1,402,2593,943,2371,5273,2253,selected
NM_012429,SEC14L2,12,126,149,129,326,237,674,selected
NM_021058,HIST1H2BJ,1,36,78,82,208,70,65,selected
NM_198589,BSG,8,796,1713,827,2092,2321,1718,redundant_transcript
NM_207311,CCDC64,9,118,216,65,241,171,163,selected
NM_017705,PAQR5,9,189,345,157,138,381,1232,redundant_transcript
NM_153207,AEBP2,8,403,737,567,654,860,1611,redundant_transcript
NM_005079,TPD52,6,320,585,594,611,310,900,redundant_transcript
NM_001025253,TPD52,8,320,585,594,611,310,900,selected
NM_003345,UBE2I,7,175,320,185,582,679,715,redundant_transcript
NM_006455,SC65,8,40,74,33,263,377,500,selected
NM_004927,MRPL49,4,290,531,271,389,514,796,selected
NM_001113755,TYMP,10,821,1498,473,1582,2759,3242,selected
NM_004856,KIF23,22,83,152,165,360,176,468,redundant_transcript
NM_017436,A4GALT,3,162,296,111,362,751,182,selected
NM_001042472,ABHD12,13,188,343,208,549,395,196,selected
NM_174983,C19orf28,10,134,245,60,303,424,170,redundant_transcript
NR_003367,PVT1,9,308,496,347,1036,450,636,selected
NM_145257,C1orf96,4,101,246,142,215,231,328,selected
NM_022894,PAPOLG,22,156,157,173,491,379,538,selected
NM_001126312,LOC100131187,4,272,500,372,762,229,393,selected
NM_153005,RIOK1,10,78,144,117,199,125,204,redundant_transcript
NM_032867,MICALCL,9,36,67,71,97,106,296,selected
NM_014109,ATAD2,28,390,720,488,907,693,1542,selected
NM_001110220,GJB6,4,994,1832,1561,619,2360,9906,redundant_transcript
NM_018518,MCM10,20,75,139,63,114,117,240,selected
NM_182751,MCM10,20,75,139,63,114,117,240,redundant_transcript
NM_005110,GFPT2,19,89,164,20,184,1514,193,selected
NM_007294,BRCA1,23,234,430,289,449,523,763,selected
NM_007296,BRCA1,23,234,430,289,449,523,763,redundant_transcript
NM_032310,C9orf89,6,83,153,94,292,265,358,selected
NM_001039671,YIF1B,8,75,139,49,136,196,89,selected
NM_001039673,YIF1B,8,75,139,49,136,198,89,redundant_transcript
NM_021149,COTL1,4,131,241,155,448,1074,509,selected
NM_015658,NOC2L,19,429,1119,336,855,1010,760,selected
NM_020170,NCLN,15,469,1126,283,719,1186,650,selected
NM_012225,NUBP2,7,150,332,141,359,511,472,selected
NM_001136204,RCC2,12,586,1865,594,1505,1561,1983,redundant_transcript
NM_016196,RBM19,24,452,853,748,1895,1197,1003,selected
NM_004553,NDUFS6,4,67,237,111,283,187,137,selected
NM_017891,C1orf159,10,75,147,103,263,220,179,selected
NM_145247,C10orf78,4,27,74,98,250,107,134,redundant_transcript
NM_001002759,C10orf78,4,27,74,98,250,107,133,selected
NM_001728,BSG,9,806,1735,828,2107,2328,1726,selected
NM_015005,KIAA0284,18,1674,2574,987,4464,2136,3049,redundant_transcript
NM_001112726,KIAA0284,19,1698,2611,1004,4553,2171,3090,selected
NM_145343,APOL1,7,124,113,118,377,375,534,selected
NM_003661,APOL1,6,124,113,118,377,373,533,redundant_transcript
NM_000050,ASS1,16,63,50,22,304,114,163,selected
NM_001136540,APOL1,6,124,113,118,377,373,533,redundant_transcript
NM_001032279,RCE1,8,108,338,76,150,220,315,selected
NM_005133,RCE1,8,108,338,76,150,221,315,redundant_transcript
NM_003720,PSMG1,7,92,202,149,144,219,312,selected
NM_020183,ARNTL2,17,376,713,461,761,661,942,selected
NM_001136479,ANP32E,7,657,2523,622,1260,1107,1577,selected
NM_006833,COPS6,10,240,606,288,598,523,744,selected
NM_004360,CDH1,16,3435,6354,3004,6555,2807,5745,selected
NM_024731,KLHL36,5,214,396,162,489,456,443,selected
NM_194259,UBE2I,8,185,344,200,648,741,794,selected
NM_021925,C2orf43,7,52,97,141,193,202,311,selected
NM_001110219,GJB6,5,1005,1859,1586,627,2380,10051,selected
NM_001953,TYMP,10,804,1489,465,1544,2727,3166,redundant_transcript
NM_199420,POLQ,30,272,506,390,726,423,625,selected
NM_001078177,SLC29A1,14,268,498,169,608,818,457,redundant_transcript
NM_007302,BRCA1,21,232,430,288,449,515,759,redundant_transcript
NM_030782,CLPTM1L,17,249,462,190,972,956,777,selected
NM_016306,DNAJB11,10,314,582,236,951,781,798,selected
NM_152346,SLC43A2,14,152,283,180,575,1567,779,selected
NM_152908,SLC47A2,17,55,34,143,368,47,447,redundant_transcript
NM_001966,EHHADH,7,96,94,170,436,223,420,selected
NM_001127230,AURKAIP1,4,317,784,290,742,648,534,selected
NM_001127214,ACSF3,10,107,255,121,310,464,290,redundant_transcript
NM_013373,ZDHHC8,11,289,580,286,732,660,546,selected
NM_018715,RCC2,13,597,1906,603,1541,1573,2048,selected
NM_033023,PDGFA,6,102,293,127,326,591,322,redundant_transcript
NM_198591,BSG,7,709,1584,778,1995,2079,1580,redundant_transcript
NM_005629,SLC6A8,13,273,510,228,710,632,437,selected
NM_000786,CYP51A1,10,203,380,151,308,280,519,selected
NM_016642,SPTBN5,68,198,369,496,1575,1533,515,selected
NM_006979,SLC39A7,7,511,955,370,1255,1640,1527,redundant_transcript
NM_144985,CDH24,13,106,199,89,252,323,263,redundant_transcript
NM_207121,FAM110A,2,141,263,149,635,260,167,redundant_transcript
NM_006601,PTGES3,8,412,769,330,589,686,990,selected
NM_001037144,CNTROB,19,244,456,348,915,739,720,selected
NM_053051,CNTROB,19,244,456,344,910,733,719,redundant_transcript
NM_014855,KIAA0415,17,208,389,322,878,1161,756,selected
NM_203463,LASS6,10,702,1307,829,1543,881,1818,selected
NM_007297,BRCA1,15,225,420,282,434,486,719,redundant_transcript
NM_020143,PNO1,7,79,148,72,233,241,258,selected
NM_001039672,YIF1B,8,75,141,49,136,198,89,redundant_transcript
NM_001136541,APOL1,5,121,113,117,374,371,532,redundant_transcript
NM_052820,CORO2A,12,329,228,169,1028,313,450,redundant_transcript
NM_007178,STRAP,10,279,629,270,617,877,1262,selected
NM_080664,C14orf126,3,93,193,139,201,219,314,selected
NM_005787,ALG3,9,146,252,123,347,303,436,selected
NM_002813,PSMD9,6,112,70,95,287,321,462,selected
NM_014732,KIAA0513,13,293,791,321,342,827,1187,selected
NM_007295,BRCA1,23,232,444,286,453,528,761,redundant_transcript
NM_203293,TRIM7,7,187,424,155,399,248,129,selected
NM_001130968,ZNF385A,7,632,437,495,1277,502,834,redundant_transcript
NM_032737,LMNB2,12,1026,2370,634,1628,1938,1141,selected
NM_014322,OPN3,4,81,120,58,151,231,425,selected
NM_031280,MRPS15,8,133,396,121,313,336,362,selected
NM_054014,FKBP1A,4,26,63,29,76,155,80,redundant_transcript
NM_152699,SENP5,10,812,1430,738,1900,1712,2693,selected
NM_001005242,PKP2,13,107,11,80,207,128,243,redundant_transcript
NM_004572,PKP2,14,107,11,80,207,128,243,selected
NM_016101,NIP7,5,118,306,122,316,234,314,selected
NM_015600,ABHD12,13,93,214,129,334,187,99,redundant_transcript
NM_001080449,DNA2,21,69,155,94,244,242,233,selected
NM_152398,OCIAD2,6,62,74,95,246,95,620,redundant_transcript
NM_001014446,OCIAD2,7,68,81,98,253,108,650,selected
NM_001002033,HN1,6,365,599,391,1006,711,1027,selected
NM_015073,SIPA1L3,22,531,995,512,1504,1276,946,selected
NM_001110221,GJB6,3,954,1797,1516,586,2217,9369,redundant_transcript
NM_024599,RHBDF2,19,360,675,256,486,770,1173,redundant_transcript
NM_001136139,TCF3,19,285,536,175,529,657,449,selected
NM_181787,DPY19L4,19,246,464,527,419,694,1520,selected
NM_006216,SERPINE2,9,143,269,313,1025,579,353,redundant_transcript
NM_001136528,SERPINE2,9,143,269,313,1025,579,353,redundant_transcript
NM_003389,CORO2A,12,328,228,169,1028,312,453,selected
NM_001331,CTNND1,19,5404,10557,4478,4386,7032,10199,redundant_transcript
NM_145080,NSMCE1,8,71,68,60,166,149,216,selected
NM_001905,CTPS,19,291,578,444,902,617,891,selected
NM_203433,PSMG1,6,89,194,138,112,210,304,redundant_transcript
NM_004399,DDX11,26,48,64,54,144,53,77,redundant_transcript
NR_002988,SNORA74B,1,321,1830,9966,2648,1236,1792,selected
NM_148979,CTSH,13,115,231,192,480,566,818,selected
NM_004390,CTSH,12,115,236,195,498,577,833,redundant_transcript
NM_016185,HN1,5,365,598,388,1006,711,1027,redundant_transcript
NM_001002032,HN1,4,365,598,388,1006,711,1027,redundant_transcript
NM_000485,APRT,5,299,769,338,875,966,673,selected
NM_001099646,SLC47A2,17,53,34,137,357,47,439,selected
NM_197965,SLC10A6,6,172,155,136,353,185,310,selected
NM_001035518,CEP250,35,516,1009,621,1613,1238,832,redundant_transcript
NM_002607,PDGFA,7,102,304,128,333,592,323,selected
NM_032421,CLIP2,16,221,765,274,712,944,595,redundant_transcript
NM_003388,CLIP2,17,221,767,274,713,949,595,selected
NM_015314,KIAA0895,6,28,54,69,29,53,196,redundant_transcript
NM_001077516,SLC39A7,8,437,827,331,1147,1508,1354,selected
NM_198264,C1orf2,9,259,492,168,506,519,354,redundant_transcript
NM_006038,SPATA2,3,94,179,85,238,262,199,redundant_transcript
NM_002809,PSMD3,12,708,1337,678,2779,1490,1580,selected
NM_002815,PSMD11,14,514,972,404,1155,1398,1587,selected
NM_003132,SRM,8,195,369,156,442,557,475,selected
NM_001013699,LOC440093,1,157,298,184,1184,322,138,selected
NM_174936,PCSK9,12,11,404,68,179,62,69,selected
NM_019862,ABCC1,30,1532,4109,1713,4477,3247,2521,redundant_transcript
NM_019900,ABCC1,30,1593,4185,1735,4537,3354,2598,redundant_transcript
NM_004996,ABCC1,31,1606,4263,1769,4619,3373,2628,selected
NM_019899,ABCC1,29,1513,4033,1683,4398,3174,2469,redundant_transcript
NM_019898,ABCC1,30,1587,4187,1739,4540,3300,2576,redundant_transcript
NM_006358,SLC25A17,9,160,224,158,414,210,426,selected
NM_001105198,TMEM177,2,40,78,34,90,97,110,selected
NM_001569,IRAK1,14,935,1780,490,1652,2592,1622,redundant_transcript
NM_017829,CECR5,8,217,449,241,629,616,348,selected
NM_001005498,RHBDF2,19,355,675,251,486,769,1173,selected
NM_021731,C19orf28,11,141,269,68,295,444,218,selected
NM_000875,IGF1R,21,1518,1329,1131,2945,2932,4286,selected
NM_001085461,CTNND1,19,5447,10548,4501,4423,7079,10309,redundant_transcript
NM_001085458,CTNND1,21,5453,10611,4519,4434,7087,10340,selected
NM_001085459,CTNND1,20,5453,10611,4519,4434,7087,10340,redundant_transcript
NR_003028,SNORA25,1,372,1239,6771,2263,3052,4436,selected
NM_212559,XKRX,3,73,14,57,159,72,105,selected
NM_004495,NRG1,6,88,179,79,121,54,79,redundant_transcript
NM_018022,TMEM51,3,108,137,89,260,166,242,redundant_transcript
NM_178496,C3orf59,2,59,26,37,119,161,235,selected
NM_005650,TCF20,5,1492,1468,1444,4278,2247,3264,selected
NM_181492,TCF20,4,1484,1461,1429,4265,2235,3257,redundant_transcript
NR_002917,SNORA19,1,161,368,7603,2233,2026,2958,selected
NM_004577,PSPH,8,38,74,76,158,131,626,selected
NM_001085460,CTNND1,19,5418,10392,4444,4368,7007,10250,redundant_transcript
NM_145716,SSBP3,18,57,110,84,99,77,116,selected
NM_006589,C1orf2,12,295,567,179,536,604,395,selected
NM_001025242,IRAK1,14,926,1770,487,1611,2557,1604,selected
NM_032485,MCM8,19,134,258,141,400,304,141,selected
NM_002358,MAD2L1,5,64,124,78,138,88,201,selected
NM_001100420,C21orf91,5,359,690,638,406,502,1465,selected
NM_017447,C21orf91,5,359,690,638,406,502,1464,redundant_transcript
NM_014754,PTDSS1,13,284,544,324,699,709,1693,selected
NM_024939,RBM35B,15,1043,1146,693,1823,785,1199,selected
NM_080626,BRI3BP,3,71,164,59,157,134,148,selected
NM_001006625,PDPN,6,138,308,173,455,1296,1026,redundant_transcript
NM_007186,CEP250,36,524,1012,623,1633,1259,838,selected
NM_001859,SLC31A1,5,194,253,231,607,584,1062,selected
NM_015950,MRPL2,7,48,63,45,120,45,73,selected
NM_133493,CD109,33,1333,1396,1948,5122,3024,5593,selected
NM_005262,GFER,3,96,305,74,196,308,206,selected
NM_183240,TMEM37,2,30,63,54,143,313,169,selected
NM_000379,XDH,36,221,269,79,449,202,297,selected
NM_174922,ADCK5,15,119,315,249,317,359,526,selected
NM_003707,RUVBL1,11,128,258,172,448,280,410,selected
NM_198066,GNPNAT1,6,158,224,142,581,318,468,selected
NR_000011,SNORA70,1,651,1811,10321,4534,4540,6637,selected
NM_180989,GPR180,9,69,160,143,186,288,422,selected
NM_020766,PCDH19,5,93,181,106,317,123,96,redundant_transcript
NM_001105243,PCDH19,5,93,181,106,317,123,96,selected
NM_203297,TRIM7,5,139,270,96,282,159,109,redundant_transcript
